0, 1
2, 4
4, 16
6, 64
8, 256
10, 1024
12, 1024
14, 820
16, 665
18, 546
20, 454
22, 382
24, 325
26, 325
28, 406
30, 324
32, 405
34, 324
36, 405
38, 324
40, 405
42, 324
44, 405
46, 324
48, 405
50, 324
52, 405
54, 324
56, 405
58, 324
60, 405
62, 324
64, 405
66, 324
68, 405
70, 324
72, 405
74, 324
76, 405
78, 405
80, 10
82, 10
84, 10
86, 10
88, 10
90, 405
92, 324
94, 405
96, 324
98, 405
100, 324
102, 405
104, 324
106, 405
108, 324
110, 405
112, 324
114, 405
116, 324
118, 405
120, 324
122, 405
124, 324
126, 405
128, 324
130, 405
132, 405
134, 10
136, 10
138, 10
140, 10
142, 10
144, 405
146, 324
148, 405
150, 324
152, 405
154, 324
156, 405
158, 324
160, 405
162, 324
164, 405
166, 324
168, 405
170, 324
172, 405
174, 324
176, 405
178, 324
180, 405
182, 324
184, 405
186, 405
188, 10
190, 10
192, 10
194, 10
196, 10
198, 405
200, 324
202, 405
204, 324
206, 405
208, 324
210, 405
212, 324
214, 405
216, 324
218, 405
220, 324
222, 405
224, 324
226, 405
228, 324
230, 405
232, 324
234, 405
236, 324
238, 405
240, 405
242, 10
244, 10
246, 10
248, 10
250, 10
252, 405
254, 324
256, 405
258, 324
260, 405
262, 324
264, 405
266, 324
268, 405
270, 324
272, 405
274, 324
276, 405
278, 324
280, 405
282, 324
284, 405
286, 324
288, 405
290, 324
292, 405
294, 405
296, 10
298, 10
300, 10
302, 10
304, 10
306, 405
308, 324
310, 405
312, 324
314, 405
316, 324
318, 405
320, 324
322, 405
324, 324
326, 405
328, 324
330, 405
332, 324
334, 405
336, 324
338, 405
340, 324
342, 405
344, 324
346, 405
348, 405
350, 10
352, 10
354, 10
356, 10
358, 10
360, 405
362, 324
364, 405
366, 324
368, 405
370, 324
372, 405
374, 324
376, 405
378, 324
380, 405
382, 324
384, 405
386, 324
388, 405
390, 324
392, 405
394, 324
396, 405
398, 324
400, 405
402, 405
404, 10
406, 10
408, 10
410, 10
412, 10
414, 405
416, 324
418, 405
420, 324
422, 405
424, 324
426, 405
428, 324
430, 405
432, 324
434, 405
436, 324
438, 405
440, 324
442, 405
444, 324
446, 405
448, 324
450, 405
452, 324
454, 405
456, 405
458, 10
460, 10
462, 10
464, 10
466, 10
468, 405
470, 324
472, 405
474, 324
476, 405
478, 324
480, 405
482, 324
484, 405
486, 324
488, 405
490, 324
492, 405
494, 324
496, 405
498, 324
500, 405
502, 324
504, 405
506, 324
508, 405
510, 405
512, 10
514, 10
516, 10
518, 10
520, 10
522, 405
524, 324
526, 405
528, 324
530, 405
532, 324
534, 405
536, 324
538, 405
540, 324
542, 405
544, 324
546, 405
548, 324
550, 405
552, 324
554, 405
556, 324
558, 405
560, 324
562, 405
564, 405
566, 10
568, 10
570, 10
572, 10
574, 10
576, 405
578, 324
580, 405
582, 324
584, 405
586, 324
588, 405
590, 324
592, 405
594, 324
596, 405
598, 324
600, 405
602, 324
604, 405
606, 324
608, 405
610, 324
612, 405
614, 324
616, 405
618, 405
620, 10
622, 10
624, 10
626, 10
628, 10
630, 405
632, 324
634, 405
636, 324
638, 405
640, 324
642, 405
644, 324
646, 405
648, 324
650, 405
652, 324
654, 405
656, 324
658, 405
660, 324
662, 405
664, 324
666, 405
668, 324
670, 405
672, 405
674, 10
676, 10
678, 10
680, 10
682, 10
